CODIGO_ENTIDAD,NOMBRE,TIPO_GESTION
1,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,PÚBLICO
2,UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA,PÚBLICO
4,UNIVERSIDAD NACIONAL DE TRUJILLO,PÚBLICO
5,UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA,PÚBLICO
6,UNIVERSIDAD NACIONAL DE INGENIERÍA,PÚBLICO
7,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,PÚBLICO
8,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ,PRIVADO
11,UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA,PÚBLICO
12,UNIVERSIDAD NACIONAL DEL ALTIPLANO,PÚBLICO
14,UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADO
15,UNIVERSIDAD CATÓLICA DE SANTA MARÍA,PRIVADO
16,UNIVERSIDAD NACIONAL DE CAJAMARCA,PÚBLICO
17,UNIVERSIDAD DEL PACÍFICO,PRIVADO
18,UNIVERSIDAD DE LIMA,PRIVADO
19,UNIVERSIDAD DE SAN MARTÍN DE PORRES,PRIVADO
20,UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN,PRIVADO
29,UNIVERSIDAD DE PIURA,PRIVADO
30,UNIVERSIDAD RICARDO PALMA,PRIVADO
32,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN,PÚBLICO
33,UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO,PÚBLICO
35,UNIVERSIDAD NACIONAL DE UCAYALI,PÚBLICO
38,UNIVERSIDAD PERUANA UNIÓN,PRIVADO
39,UNIVERSIDAD ANDINA DEL CUSCO,PRIVADO
43,UNIVERSIDAD PRIVADA DE TACNA,PRIVADO
46,UNIVERSIDAD PRIVADA ANTENOR ORREGO,PRIVADO
49,UNIVERSIDAD MARCELINO CHAMPAGNAT,PRIVADO
54,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,PRIVADO
55,UNIVERSIDAD PRIVADA DEL NORTE S.A.C.,PRIVADO
57,UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.,PRIVADO
62,UNIVERSIDAD CATÓLICA SAN PABLO,PRIVADO
68,UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.,PRIVADO
69,UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO,PRIVADO
71,UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE,PRIVADO
76,UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE AMAZONAS,PÚBLICO
79,UNIVERSIDAD ESAN,PRIVADO
80,UNIVERSIDAD ANTONIO RUIZ DE MONTOYA,PRIVADO
82,UNIVERSIDAD PARA EL DESARROLLO ANDINO,PRIVADO
84,UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA,PÚBLICO
89,UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS,PÚBLICO
95,UNIVERSIDAD NACIONAL DE MOQUEGUA,PÚBLICO
96,UNIVERSIDAD AUTÓNOMA DEL PERÚ S.A.C.,PRIVADO
97,ASOCIACIÓN CIVIL UNIVERSIDAD DE CIENCIAS Y HUMANIDADES,PRIVADO
98,UNIVERSIDAD NACIONAL DE JULIACA,PÚBLICO
100,UNIVERSIDAD JAIME BAUSATE Y MEZA,PRIVADO
101,UNIVERSIDAD NACIONAL DE JAÉN,PÚBLICO
104,UNIVERSIDAD LE CORDON BLEU S.A.C.,PRIVADO
108,UNIVERSIDAD DE CIENCIAS Y ARTES DE AMÉRICA LATINA S.A.C.,PRIVADO
120,UNIVERSIDAD NACIONAL AUTÓNOMA DE CHOTA,PÚBLICO
121,UNIVERSIDAD NACIONAL DE BARRANCA,PÚBLICO
122,UNIVERSIDAD NACIONAL DE CAÑETE,PÚBLICO
123,UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUÍA DE BAGUA,PÚBLICO
124,UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA,PÚBLICO
126,UNIVERSIDAD NACIONAL AUTÓNOMA DE ALTO AMAZONAS,PÚBLICO
