CODIGO_ENTIDAD,NOMBRE,ESTADO_LICENCIAMIENTO
1,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,LICENCIA OTORGADA
2,UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA,LICENCIA OTORGADA
4,UNIVERSIDAD NACIONAL DE TRUJILLO,LICENCIA OTORGADA
5,UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA,LICENCIA OTORGADA
6,UNIVERSIDAD NACIONAL DE INGENIERÍA,LICENCIA OTORGADA
7,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,LICENCIA OTORGADA
8,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ,LICENCIA OTORGADA
11,UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA,LICENCIA OTORGADA
12,UNIVERSIDAD NACIONAL DEL ALTIPLANO,LICENCIA OTORGADA
14,UNIVERSIDAD PERUANA CAYETANO HEREDIA,LICENCIA OTORGADA
15,UNIVERSIDAD CATÓLICA DE SANTA MARÍA,LICENCIA OTORGADA
16,UNIVERSIDAD NACIONAL DE CAJAMARCA,LICENCIA OTORGADA
17,UNIVERSIDAD DEL PACÍFICO,LICENCIA OTORGADA
18,UNIVERSIDAD DE LIMA,LICENCIA OTORGADA
19,UNIVERSIDAD DE SAN MARTÍN DE PORRES,LICENCIA OTORGADA
20,UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN,LICENCIA OTORGADA
29,UNIVERSIDAD DE PIURA,LICENCIA OTORGADA
30,UNIVERSIDAD RICARDO PALMA,LICENCIA OTORGADA
32,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN,LICENCIA OTORGADA
33,UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO,LICENCIA OTORGADA
35,UNIVERSIDAD NACIONAL DE UCAYALI,LICENCIA OTORGADA
38,UNIVERSIDAD PERUANA UNIÓN,LICENCIA OTORGADA
39,UNIVERSIDAD ANDINA DEL CUSCO,LICENCIA OTORGADA
43,UNIVERSIDAD PRIVADA DE TACNA,LICENCIA OTORGADA
46,UNIVERSIDAD PRIVADA ANTENOR ORREGO,LICENCIA OTORGADA
49,UNIVERSIDAD MARCELINO CHAMPAGNAT,LICENCIA OTORGADA
54,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,LICENCIA OTORGADA
55,UNIVERSIDAD PRIVADA DEL NORTE S.A.C.,LICENCIA OTORGADA
57,UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.,LICENCIA OTORGADA
62,UNIVERSIDAD CATÓLICA SAN PABLO,LICENCIA OTORGADA
68,UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.,LICENCIA OTORGADA
69,UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO,LICENCIA OTORGADA
71,UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE,LICENCIA OTORGADA
76,UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE AMAZONAS,LICENCIA OTORGADA
79,UNIVERSIDAD ESAN,LICENCIA OTORGADA
80,UNIVERSIDAD ANTONIO RUIZ DE MONTOYA,LICENCIA OTORGADA
82,UNIVERSIDAD PARA EL DESARROLLO ANDINO,LICENCIA OTORGADA
84,UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA,LICENCIA OTORGADA
89,UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS,LICENCIA OTORGADA
95,UNIVERSIDAD NACIONAL DE MOQUEGUA,LICENCIA OTORGADA
96,UNIVERSIDAD AUTÓNOMA DEL PERÚ S.A.C.,LICENCIA OTORGADA
97,ASOCIACIÓN CIVIL UNIVERSIDAD DE CIENCIAS Y HUMANIDADES,LICENCIA OTORGADA
98,UNIVERSIDAD NACIONAL DE JULIACA,LICENCIA OTORGADA
100,UNIVERSIDAD JAIME BAUSATE Y MEZA,LICENCIA OTORGADA
101,UNIVERSIDAD NACIONAL DE JAÉN,LICENCIA OTORGADA
104,UNIVERSIDAD LE CORDON BLEU S.A.C.,LICENCIA OTORGADA
108,UNIVERSIDAD DE CIENCIAS Y ARTES DE AMÉRICA LATINA S.A.C.,LICENCIA OTORGADA
120,UNIVERSIDAD NACIONAL AUTÓNOMA DE CHOTA,LICENCIA OTORGADA
121,UNIVERSIDAD NACIONAL DE BARRANCA,LICENCIA OTORGADA
122,UNIVERSIDAD NACIONAL DE CAÑETE,LICENCIA OTORGADA
123,UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUÍA DE BAGUA,LICENCIA OTORGADA
124,UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA,LICENCIA OTORGADA
126,UNIVERSIDAD NACIONAL AUTÓNOMA DE ALTO AMAZONAS,LICENCIA OTORGADA
127,UNIVERSIDAD NACIONAL AUTÓNOMA ALTOANDINA DE TARMA,LICENCIA OTORGADA
128,UNIVERSIDAD NACIONAL AUTÓNOMA DE HUANTA,LICENCIA OTORGADA
132,UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA,LICENCIA OTORGADA
133,UNIVERSIDAD LA SALLE,LICENCIA OTORGADA
136,UNIVERSIDAD MARÍA AUXILIADORA S.A.C.,LICENCIA OTORGADA
67,UNIVERSIDAD CONTINENTAL S.A.C.,LICENCIA OTORGADA
88,UNIVERSIDAD NACIONAL TECNOLÓGICA DE LIMA SUR,LICENCIA OTORGADA
129,UNIVERSIDAD NACIONAL TECNOLÓGICA DE SAN JUAN DE LURIGANCHO,CON INFORME DE OBSERVACIONES (IO) NOTIFICADO
130,UNIVERSIDAD AUTÓNOMA MUNICIPAL DE LOS OLIVOS,NINGUNO
138,UNIVERSIDAD NACIONAL AUTÓNOMA DE TAYACAJA DANIEL HERNÁNDEZ MORILLO,LICENCIA OTORGADA
139,UNIVERSIDAD NACIONAL CIRO ALEGRÍA,LICENCIA DENEGADA
147,UNIVERSIDAD SEMINARIO EVANGÉLICO DE LIMA,LICENCIA DENEGADA
148,UNIVERSIDAD SEMINARIO BÍBLICO ANDINO,LICENCIA DENEGADA
3,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,LICENCIA OTORGADA
9,UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA,LICENCIA OTORGADA
10,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ,LICENCIA OTORGADA
13,UNIVERSIDAD NACIONAL DE PIURA,LICENCIA OTORGADA
21,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL,LICENCIA OTORGADA
22,UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA,LICENCIA OTORGADA
23,UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN DE HUÁNUCO,LICENCIA OTORGADA
24,UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL,LICENCIA DENEGADA
25,UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE,LICENCIA OTORGADA
26,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRIÓN,LICENCIA OTORGADA
27,UNIVERSIDAD NACIONAL DEL CALLAO,LICENCIA OTORGADA
28,UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN,LICENCIA OTORGADA
31,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,LICENCIA DENEGADA
34,UNIVERSIDAD NACIONAL DE SAN MARTÍN,LICENCIA OTORGADA
36,UNIVERSIDAD ANDINA NÉSTOR CÁCERES VELÁSQUEZ,LICENCIA DENEGADA
37,UNIVERSIDAD PERUANA LOS ANDES,LICENCIA OTORGADA
40,UNIVERSIDAD TECNOLÓGICA DE LOS ANDES,LICENCIA OTORGADA
41,UNIVERSIDAD NACIONAL DE TUMBES,LICENCIA OTORGADA
42,UNIVERSIDAD NACIONAL DEL SANTA,LICENCIA OTORGADA
44,UNIVERSIDAD PARTICULAR DE CHICLAYO,LICENCIA DENEGADA
47,UNIVERSIDAD DE HUÁNUCO,LICENCIA OTORGADA
51,UNIVERSIDAD NACIONAL DE HUANCAVELICA,LICENCIA OTORGADA
52,UNIVERSIDAD CÉSAR VALLEJO S.A.C.,LICENCIA OTORGADA
59,UNIVERSIDAD ALAS PERUANAS S.A.,LICENCIA DENEGADA
61,UNIVERSIDAD PRIVADA NORBERT WIENER S.A.,LICENCIA OTORGADA
65,UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.,LICENCIA OTORGADA
70,UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO S.A.C.,LICENCIA DENEGADA
