CODIGO_ENTIDAD,NOMBRE,DEPARTAMENTO
1,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,LIMA
2,UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA,AYACUCHO
4,UNIVERSIDAD NACIONAL DE TRUJILLO,LA LIBERTAD
5,UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA,AREQUIPA
6,UNIVERSIDAD NACIONAL DE INGENIERÍA,LIMA
7,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,LIMA
8,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ,LIMA
11,UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA,LORETO
12,UNIVERSIDAD NACIONAL DEL ALTIPLANO,PUNO
14,UNIVERSIDAD PERUANA CAYETANO HEREDIA,LIMA
15,UNIVERSIDAD CATÓLICA DE SANTA MARÍA,AREQUIPA
16,UNIVERSIDAD NACIONAL DE CAJAMARCA,CAJAMARCA
17,UNIVERSIDAD DEL PACÍFICO,LIMA
18,UNIVERSIDAD DE LIMA,LIMA
19,UNIVERSIDAD DE SAN MARTÍN DE PORRES,LIMA
20,UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN,LIMA
29,UNIVERSIDAD DE PIURA,PIURA
30,UNIVERSIDAD RICARDO PALMA,LIMA
32,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN,TACNA
33,UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO,ÁNCASH
35,UNIVERSIDAD NACIONAL DE UCAYALI,UCAYALI
38,UNIVERSIDAD PERUANA UNIÓN,LIMA
39,UNIVERSIDAD ANDINA DEL CUSCO,CUSCO
43,UNIVERSIDAD PRIVADA DE TACNA,TACNA
46,UNIVERSIDAD PRIVADA ANTENOR ORREGO,LA LIBERTAD
49,UNIVERSIDAD MARCELINO CHAMPAGNAT,LIMA
54,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,LIMA
55,UNIVERSIDAD PRIVADA DEL NORTE S.A.C.,LA LIBERTAD
